problem,scope,method,objective,gap_pct,mean,std,runtime_s,status,notes
P2-CFLP,full(137),exact-MILP,877867.9065107269,0.0,877867.9065107269,0.0,17.145338300033472,Optimal,n_open=109
P2-CFLP,full(137),GA,888503.6638968538,1.2115441636773245,893076.0608675223,2078.8369226704913,34.98979631999973,,10 seeds
P2-CFLP,full(137),SA,888503.6638968538,1.2115441636773245,890526.8877280891,2529.974676541418,38.16918077004375,,10 seeds
P2-CFLP,full(137),PSO,1024250.0311989782,16.674732451500407,1026142.2249591826,3784.3875204087235,3.690915529988706,,10 seeds
P1-QAP,reduced(8x8),exact-enum,2874111.0172527106,0.0,2874111.0172527106,0.0,,Optimal,full enumeration (true optimum)
P1-QAP,reduced(8x8),MILP(CBC),3032631.332418007,5.515455534380218,3032631.332418007,0.0,24.3852069999557,Optimal,generic linearization stalls on QAP
P1-QAP,reduced(8x8),GA,2874111.0172527106,0.0,2910419.697186094,45788.24239672875,5.958153900003526,,10 seeds
P1-QAP,reduced(8x8),SA,2874111.0172527106,0.0,2882192.016300154,24242.99714233121,2.9223105299752206,,10 seeds
P1-QAP,full(30->197),GA,5038899.677232728,2.2301540161516633,5282909.157594766,264215.22518919606,8.196422990004066,,gap vs best heuristic (no exact)
P1-QAP,full(30->197),SA,4928975.922736668,0.0,5067596.231489644,94624.41698391957,4.643902659974993,,gap vs best heuristic (no exact)
P3-storage,full(25189 slots),COI/exact-LP,40480413.27347236,0.0,40480413.27347236,0.0,,optimal,LP verified=True
P3-storage,full(25189 slots),GA,40480413.27347236,0.0,40480413.27347236,0.0,,,ordering of 20 products
P3-storage,full(25189 slots),SA,40480413.27347236,0.0,40480413.27347236,0.0,,,ordering of 20 products
P3-storage,full(25189 slots),random(mean),55643622.35482788,37.458138035592334,55643622.35482788,,,,baseline
